<STATUS> at <TIME> (@100 ns),,a,b,cmd,reset,,flow(exp:act),fhigh(exp:act),cout(exp:act),equal(exp:act),ov(exp:act),sign(exp:act),cb(exp:act),ready(exp:act),can_busy(exp:act),can(exp:act)
SUCCESS at 18200 ns,,00000000,00000000,1000,0,,00000000:00000000,--------:00000000,0:0,-:1,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 18300 ns,,01010101,00000000,1000,0,,10101010:10101010,--------:11111111,0:0,-:0,0:0,1:1,0:0,0:0,0:0,1:1
SUCCESS at 18400 ns,,00110011,00000000,1000,0,,10011001:10011001,--------:11111111,0:0,-:0,0:0,1:1,0:0,0:0,0:0,1:1
SUCCESS at 18500 ns,,00001111,00000000,1000,0,,10000111:10000111,--------:11111111,0:0,-:0,0:0,1:1,0:0,0:0,0:0,1:1
SUCCESS at 18600 ns,,11110000,00000000,1000,0,,01111000:01111000,--------:00000000,0:0,-:0,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 18700 ns,,11001100,00000000,1000,0,,01100110:01100110,--------:00000000,0:0,-:0,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 18800 ns,,10101010,00000000,1000,0,,01010101:01010101,--------:00000000,0:0,-:0,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 18900 ns,,00010000,00000000,1000,0,,00001000:00001000,--------:00000000,0:0,-:0,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 19000 ns,,11111111,00000000,1000,0,,11111111:11111111,--------:11111111,0:0,-:0,0:0,1:1,0:0,0:0,0:0,1:1
SUCCESS at 19100 ns,,11111110,00000000,1000,0,,01111111:01111111,--------:00000000,0:0,-:0,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 19200 ns,,11111100,00000000,1000,0,,01111110:01111110,--------:00000000,0:0,-:0,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 19300 ns,,00000001,00000000,1000,0,,10000000:10000000,--------:11111111,0:0,-:0,0:0,1:1,0:0,0:0,0:0,1:1
SUCCESS at 19400 ns,,00001000,00001000,1001,0,,01000000:01000000,00000000:00000000,0:0,1:1,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 19500 ns,,01111111,00000001,1001,0,,01111111:01111111,00000000:00000000,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:1
FAILURE at 19600 ns,,01111111,01111111,1001,0,,00000001:00000001,00111111:00111111,0:0,0:1,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 19700 ns,,01111111,10000001,1001,0,,11111111:11111111,11000000:11000000,0:0,0:0,0:0,1:1,0:0,0:0,0:0,1:1
SUCCESS at 19800 ns,,01111111,10000000,1001,0,,10000000:10000000,11000000:11000000,0:0,0:0,0:0,1:1,0:0,0:0,0:0,1:1
SUCCESS at 19900 ns,,10000000,10000000,1001,0,,00000000:00000000,01000000:01000000,0:0,1:1,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 20000 ns,,10000000,10000001,1001,0,,10000000:10000000,00111111:00111111,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 20100 ns,,00101011,01111010,1001,0,,01111110:01111110,00010100:00010100,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:1
